# Results from linear SVM model
Filename,Prediction,Actual,Correct?
dog_147.jpg,cat,dog,False
dog_219.jpg,dog,dog,True
dog_191.jpg,cat,dog,False
dog_344.jpg,dog,dog,True
dog_150.jpg,dog,dog,True
dog_227.jpg,cat,dog,False
dog_421.jpg,dog,dog,True
dog_380.jpg,cat,dog,False
dog_155.jpg,dog,dog,True
dog_141.jpg,cat,dog,False
dog_196.jpg,cat,dog,False
dog_551.jpg,dog,dog,True
dog_237.jpg,cat,dog,False
dog_236.jpg,dog,dog,True
dog_197.jpg,dog,dog,True
dog_168.jpg,cat,dog,False
dog_28.jpg,dog,dog,True
dog_354.jpg,cat,dog,False
dog_142.jpg,dog,dog,True
dog_181.jpg,cat,dog,False
dog_194.jpg,dog,dog,True
dog_369.jpg,cat,dog,False
dog_355.jpg,dog,dog,True
dog_124.jpg,dog,dog,True
dog_130.jpg,cat,dog,False
dog_534.jpg,dog,dog,True
dog_520.jpg,dog,dog,True
dog_521.jpg,dog,dog,True
dog_482.jpg,dog,dog,True
dog_59.jpg,cat,dog,False
dog_327.jpg,dog,dog,True
dog_443.jpg,dog,dog,True
dog_536.jpg,dog,dog,True
dog_244.jpg,dog,dog,True
dog_522.jpg,dog,dog,True
dog_442.jpg,cat,dog,False
dog_89.jpg,dog,dog,True
dog_240.jpg,dog,dog,True
dog_283.jpg,dog,dog,True
dog_123.jpg,dog,dog,True
dog_75.jpg,dog,dog,True
dog_519.jpg,cat,dog,False
dog_518.jpg,dog,dog,True
dog_461.jpg,dog,dog,True
dog_313.jpg,dog,dog,True
dog_528.jpg,dog,dog,True
dog_44.jpg,dog,dog,True
dog_476.jpg,cat,dog,False
dog_462.jpg,cat,dog,False
dog_258.jpg,cat,dog,False
dog_517.jpg,cat,dog,False
dog_43.jpg,cat,dog,False
dog_472.jpg,dog,dog,True
dog_464.jpg,dog,dog,True
dog_302.jpg,dog,dog,True
dog_68.jpg,cat,dog,False
dog_114.jpg,dog,dog,True
dog_303.jpg,dog,dog,True
dog_364.jpg,dog,dog,True
dog_563.jpg,cat,dog,False
dog_211.jpg,cat,dog,False
dog_173.jpg,cat,dog,False
dog_415.jpg,dog,dog,True
dog_398.jpg,cat,dog,False
dog_159.jpg,cat,dog,False
dog_213.jpg,cat,dog,False
dog_377.jpg,cat,dog,False
dog_177.jpg,dog,dog,True
dog_229.jpg,dog,dog,True
dog_360.jpg,dog,dog,True
cat_190.jpg,dog,cat,False
cat_147.jpg,dog,cat,False
cat_542.jpg,dog,cat,False
cat_595.jpg,dog,cat,False
cat_422.jpg,dog,cat,False
cat_583.jpg,cat,cat,True
cat_384.jpg,cat,cat,True
cat_586.jpg,cat,cat,True
cat_545.jpg,dog,cat,False
cat_223.jpg,cat,cat,True
cat_551.jpg,cat,cat,True
cat_587.jpg,dog,cat,False
cat_140.jpg,dog,cat,False
cat_342.jpg,cat,cat,True
cat_430.jpg,cat,cat,True
cat_418.jpg,cat,cat,True
cat_395.jpg,cat,cat,True
cat_156.jpg,cat,cat,True
cat_585.jpg,cat,cat,True
cat_234.jpg,cat,cat,True
cat_355.jpg,cat,cat,True
cat_433.jpg,cat,cat,True
cat_341.jpg,cat,cat,True
cat_332.jpg,cat,cat,True
cat_468.jpg,cat,cat,True
cat_124.jpg,dog,cat,False
cat_118.jpg,cat,cat,True
cat_520.jpg,dog,cat,False
cat_290.jpg,cat,cat,True
cat_119.jpg,dog,cat,False
cat_88.jpg,dog,cat,False
cat_496.jpg,cat,cat,True
cat_523.jpg,cat,cat,True
cat_251.jpg,cat,cat,True
cat_279.jpg,cat,cat,True
cat_244.jpg,cat,cat,True
cat_60.jpg,cat,cat,True
cat_446.jpg,cat,cat,True
cat_268.jpg,cat,cat,True
cat_255.jpg,dog,cat,False
cat_109.jpg,cat,cat,True
cat_525.jpg,dog,cat,False
cat_281.jpg,dog,cat,False
cat_94.jpg,cat,cat,True
cat_313.jpg,cat,cat,True
cat_1.jpg,dog,cat,False
cat_528.jpg,dog,cat,False
cat_306.jpg,cat,cat,True
cat_56.jpg,cat,cat,True
cat_106.jpg,cat,cat,True
cat_113.jpg,cat,cat,True
cat_96.jpg,dog,cat,False
cat_473.jpg,cat,cat,True
cat_116.jpg,cat,cat,True
cat_464.jpg,cat,cat,True
cat_114.jpg,dog,cat,False
cat_538.jpg,cat,cat,True
cat_504.jpg,cat,cat,True
cat_5.jpg,cat,cat,True
cat_358.jpg,cat,cat,True
cat_417.jpg,cat,cat,True
cat_371.jpg,dog,cat,False
cat_575.jpg,cat,cat,True
cat_574.jpg,dog,cat,False
cat_158.jpg,dog,cat,False
cat_564.jpg,dog,cat,False
cat_203.jpg,cat,cat,True
cat_375.jpg,dog,cat,False
cat_162.jpg,dog,cat,False
cat_18.jpg,cat,cat,True
